,title,subtitle,link
0,HALL GOOD,Haller all smiles in hospital as he undergoes treatment for testicular cancer,https://www.thesun.co.uk/sport/19278542/sebastien-haller-dortmund-testicular-cancer/
1,VOR-4-2,Countdown's on to football season - take on Carol Vorderman in Dream Team,https://www.thesun.co.uk/dream-team/19260839/join-dream-team-carol-vorderman-2022-23/
2,KOUN YOU BELIEVE IT?,Jules Kounde turns up UNANNOUNCED on Sevilla's pre-season tour,https://www.thesun.co.uk/sport/football/19278352/jules-kounde-chelsea-sevilla-pre-season-tour/
3,AMERICAN DREAM,Ex-Man Utd star Morrison follows Rooney to DC United after sealing MLS move,https://www.thesun.co.uk/sport/football/19277365/man-utd-ravel-morrison-wayne-rooney-dc-united-transfer/
4,GERMAN LEGEND,Tributes pour in for West Germany legend Seeler who scored in World Cup final,https://www.thesun.co.uk/sport/football/19277021/uwe-seeler-dead-west-germany-1966-world-cup-final/
5,A HAPPIER LUK,Watch Lukaku serenade pals on Inter initiation as he loves life back in Italy,https://www.thesun.co.uk/sport/football/19278416/romelu-lukaku-inter-milan-initiation-chelsea/
6,MAKING HIS MARC,Man Utd hero Marcus Rashford launches inspiring new book You Can Do It,https://www.thesun.co.uk/sport/football/19274085/man-utd-marcus-rashford-book/
7,ZETTE UPON BY WASPS,Ex-Arsenal star Lacazette set to miss Lyon game after 'attack by WASPS',https://www.thesun.co.uk/sport/football/19278062/arsenal-alex-lacazette-lyon-attacked-wasps/
8,PIERS PICKS,"Piers Morgan reveals his Dream Team - take him on and compete for £100,000!",https://www.thesun.co.uk/dream-team/fantasy-football/19257818/piers-morgans-dream-team-haaland-jesus/
9,RIO CARNIVAL,Man Utd legend Ferdinand reveals boozy West Ham pre-season tour as youngster,https://www.thesun.co.uk/sport/19277261/man-utd-ferdinand-boozy-west-ham-pre-season-tour/
10,LOOKING WEL,Welbeck reveals stunning body transformation after bulking up with gym routine,https://www.thesun.co.uk/sport/football/19275893/danny-welbeck-body-transformation-gym-brighton/
11,FRONTING UP,Clothing brand promoted by Neymar and Luis Suarez is 'front for drug business',https://www.thesun.co.uk/sport/football/19274977/neymar-luis-suarez-mybrand-clothing-owner-arrested-drug-trafficking/
12,TUCH FOR THOM,Chelsea's owners agree £800M debt package with £300m of it to rebuild squad,https://www.thesun.co.uk/sport/19273825/chelsea-owners-huge-debt-transfer-rebuild-todd-boehly/
13,NUMBER HWANG,Bordeaux forward Hwang Ui-Jo claims he has transfer offer to join West Ham,https://www.thesun.co.uk/sport/football/19277369/west-ham-hwang-ui-jo-transfer-chelsea-armando-broja/
14,ER WE GO,Pep reveals when Haaland will make Man City debut after Club America benching,https://www.thesun.co.uk/sport/19274102/erling-haaland-man-city-debut-pep-guardiola/
15,BEAST MODE,Akinfenwa shocks fans by playing friendly for YouTube team in EIGHTH tier,https://www.thesun.co.uk/sport/football/19275787/adebayo-akinfenwa-hashtag-united-youtube/
16,BLUE IT,"Man Utd fans can't handle that De Jong would rather join Chelsea, says Agbonlahor",https://www.thesun.co.uk/sport/football/19276869/man-utd-chelsea-frenkie-de-jong-transfer-decision/
17,TEN OUT OF ZEN,Watch strict Ten Hag lay into 'f***ing rubbish' United youngster in training,https://www.thesun.co.uk/sport/19276104/man-utd-strict-ten-hag-training-rubbish/
18,STAR OPENS UP,I'm an ex-Prem star and my 10-year addiction to painkillers almost killed me,https://www.thesun.co.uk/sport/football/19271315/premier-league-painkillers-addiction-depression/
19,PLANE SAILING,Man Utd flight delayed by 'medical emergency after military jet blocks plane',https://www.thesun.co.uk/sport/football/19273190/man-utd-australia-flight-delayed-medical-emergency/
20,SUPER DEAL,Euro 2022: £30 BONUS when you stake £10 today -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17804593/sky-bet-free-bet-new-customers-euro-2022/
21,FREE BONUS,Sign up to Sun Vegas now for a £10 bonus – with NO deposit required!,https://www.thesun.co.uk/sun-bingo/15204465/free-bets-sun-vegas-no-deposit/
22,CASH BACK,Paddy Power: Get money back as CASH up to £20 if your bet loses - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17372478/leipzig-liverpool-paddy-power-free-bets-offer/
23,KYL TIME,How much European Golden Boot contenders earn per goal with Mbappe WORST value,https://www.thesun.co.uk/sport/19272370/european-golden-boot-contenders-per-goal-earnings/
24,FEELING BLUE,Chelsea struggle to attract transfer bids for likes of Barkley and Batshuayi,https://www.thesun.co.uk/sport/football/19277008/chelsea-transfer-barkley-batshuayi/
25,GO WITH THE FLO,Brighton look to beat Arsenal to Florian Grillitsch in move for free agent,https://www.thesun.co.uk/sport/football/19276343/brighton-florian-grillitsch-arsenal/
26,FAB NEWS,Arsenal boost with Fabio Vieira back in first-team training after early injury,https://www.thesun.co.uk/sport/19274055/arsenal-boost-fabio-vieira-back-training/
27,FOXES FIRE SALE,Five stars Leicester could be forced to sell as Man Utd and Arsenal circle,https://www.thesun.co.uk/sport/19275346/leicester-man-utd-arsenal-target-tielemans-summer-transfers/
